Authors,Pubslish_Date,Title,Text,Image,Link,Category
['The New York Times'],2023-08-22 00:00:00,"In Latest Moon Race, India Aims to Claim First Successful Southern Pole Landing","Pinned

Updated Aug. 23, 2023, 5:31 a.m. ET Aug. 23, 2023, 5:31 a.m. ET

It’s been almost four years since India’s last attempt to land on the moon, Chandrayaan-2, ended in a crash. On Wednesday, India is hoping that the uncrewed Chandrayaan-3 mission will reach the lunar surface in one piece.

The Indian people and government feel great pride for their nation’s surging space program. But the stakes for Wednesday’s landing attempt have been amplified by the crash on Saturday of Luna-25, a lunar lander from Russia that was to set down in the same region of the moon as Chandrayaan-3. If India achieves a landing just after Russia failed, it will highlight the technological accomplishments of the world’s most populous country.

India’s space program is a source of national pride, as is the country’s growing cadre of commercial space start-ups. India’s recent efforts in space exploration also closely mirror the country’s diplomatic push as an ambitious power on the rise. But Chandrayaan-3 is also taking place amid renewed interest in exploring the moon. The United States and China are both aiming to send astronauts there in the coming years, and there are more robotic missions from Japan and the United States that could head there this year. Like India, many other lunar missions are aiming for the moon’s south polar region. Scientists believe it may contain water ice that could be used by astronauts in the future. Here’s what you need to know: The Chandrayaan-3 landing module is expected to reach the moon’s surface on Wednesday at 8:34 a.m. Eastern time (it will be 6:04 p.m. in India).

The lander is in an elliptical orbit of the moon, swinging as close as about 15 miles above the surface. On Wednesday at around 8:14 a.m. Eastern time, ISRO says the spacecraft will fire its engines to bring itself out of orbit and begin a descent to the surface. The engines will further brake its fall, to help it achieve a soft landing.

The nation’s space program, the Indian Space Research Organization, will provide a livestream from the mission control room in Bengaluru. You can watch it on ISRO’s YouTube channel or website starting at 7:50 a.m. Eastern.

Chandrayaan means “moon craft” in Hindi. In addition to the propulsion module that pushed the spacecraft into orbit around the moon, the landing module consists of the Vikram lander and the Pragyan rover that will attempt to set down on the lunar surface in the moon’s south polar region. The mission is robotic and there are no astronauts aboard.

The Aug. 23 landing was selected because it is the day when the sun will rise at the landing site. The mission is to conclude two weeks later when the sun sets. While on the surface, the solar-powered lander and rover will use a range of instruments to make thermal, seismic and mineralogical measurements.

Show more",https://static01.nyt.com/images/2023/08/22/science/22india-moon-steup-vid-image/22india-moon-steup-vid-image-facebookJumbo.png,https://www.nytimes.com/live/2023/08/23/science/india-moon-landing-chandrayaan-3,Science
[],,Before you continue,"Deliver and maintain Google services

Track outages and protect against spam, fraud, and abuse

Measure audience engagement and site statistics to understand how our services are used and enhance the quality of those services

Develop and improve new services

Deliver and measure the effectiveness of ads

Show personalized content, depending on your settings

Show personalized ads, depending on your settings

If you choose to “Reject all,” we will not use cookies for these additional purposes.

Non-personalized content is influenced by things like the content you’re currently viewing, activity in your active Search session, and your location. Non-personalized ads are influenced by the content you’re currently viewing and your general location. Personalized content and ads can also include more relevant results, recommendations, and tailored ads based on past activity from this browser, like previous Google searches. We also use cookies and data to tailor the experience to be age-appropriate, if relevant.

We use cookies and data toIf you choose to “Accept all,” we will also use cookies and data toSelect “More options” to see additional information, including details about managing your privacy settings. You can also visit g.co/privacytools at any time.",https://www.google.com/favicon.ico,,Science
['Jackie Wattles'],2023-08-22 00:00:00,"Luna 25 crash and Chandrayaan-3 landing attempt may signal another shift in the space race, experts say","Sign up for CNN’s Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.

CNN —

A Russian spacecraft malfunctioned over the weekend, sending the vehicle crashing into the moon. The failed landing attempt has experts questioning the future of the country’s lunar exploration ambitions and the geopolitical dynamics that underpin modern space exploration efforts.

The spacecraft, Luna 25, lost contact with operators at Russia’s space agency, Roscosmos, on Saturday, August 19. By Sunday, the vehicle was declared dead.

Initial reports from the head of Roscosmos, Yury Borisov, indicate there was a problem with the vehicle’s engines, causing it to misfire as it attempted to adjust its orbit in the days before landing.

The failure was a major blow to the space agency’s ambitions. Russia had been seeking to prove that its civil space program, which analysts say has faced issues for decades, can still achieve the stunning feats it showcased during the 20th-century space race.

“Russia’s Cold War legacy will be just that — a legacy — unless they can actually do this themselves,” said Victoria Samson, the Washington office director for Secure World Foundation, a nonprofit that promotes the peaceful exploration of outer space.

Under the former Soviet Union, Russia managed to safely land seven spacecraft on the lunar surface, including the first-ever soft landing in 1966.

Borisov acknowledged that the Soviet successes of last century weren’t easily repeatable.

“We have to essentially master all the technologies all over again — of course, at a new technical level,” he said during an interview with Russian state media on Monday.

This photo released by the Roscosmos State Space Corporation on August 17, shows an image of the lunar south pole region on the far side of the moon captured by Russia's Luna 25 spacecraft before its failed attempt to land. Roscosmos/AP

Borisov has offered assurance that Roscosmos can get back on track. He said the space agency will accelerate its next two moon missions: Luna 26 and Luna 27, which could give Roscosmos all the science it lost with the failure of Luna 25.

Still, space policy experts question whether the Russian government has the power or the will to make that happen, particularly as the country faces sanctions around the war in Ukraine and Roscosmos appears to be of diminishing importance to the Kremlin.

“Even if they said they were going to continue (the Luna program), that doesn’t necessarily mean anything at this point. And the question is: Can they continue? Do they have the capability to continue it?” said Robert Pearson, a former ambassador to Turkey, former director general of the U.S. Foreign Service, and a founding member of Duke University’s Space Diplomacy Lab.

The consequence of this failure, Pearson added, is that on the global stage, it raises the question of whether Russia is “seriously in the space race” at all.

A changing civil space landscape

Russia’s failed moon landing attempt comes amid a rush of other lunar exploration efforts, largely designed by countries that haven’t been seen as traditional space powers. Luna 25 was flying alongside India’s Chandrayaan-3 spacecraft, which will attempt to land on the moon as soon as Wednesday.

More than a dozen other countries also have plans for moon missions in the coming years, including the United States’ ambitious Artemis III, which could land astronauts on the lunar surface as soon as 2025.

“I think it … speaks to how much the cost of space exploration has dropped,” Samson said. “It’s still not cheap by any stretch of the imagination, but it’s gotten a little more reasonable. … I think that’s why more countries are able to (attempt) it.”

But while the loss of Luna 25 may widely be seen as a setback for Russia’s space ambitions, it’s worth noting that putting a spacecraft on the moon remains an exceedingly difficult feat.

India’s last attempt, with the Chandrayaan-2 spacecraft, failed. And two other commercial spacecraft have also crash-landed since 2019.

Perhaps different expectations were placed on Russia, however, because of its extensive Soviet-era experience.

If India’s space agency manages to safely land its spacecraft, Pearson added, it could “really outline the loss of prestige and influence and technological ability on the part of Russia.”

The mission was also closely watched because of how the country’s civil space program has been evolving. In recent years, Roscosmos has been beleaguered by issues with funding, quality control issues and suspected corruption, Samson noted.

The space agency has also faced blowback from Western nations since Russia invaded Ukraine in February 2022. The European Space Agency, for example, was set to work with Roscosmos on the Luna 25 mission as well as several future exploration endeavors, but Europe pulled out of the partnership after the invasion of Ukraine.

Now, questions are swirling around how Russia’s closest modern space partner — China — might react to Luna 25’s failure.

The two countries had announced they would work together to establish the International Lunar Research Station, a moon base to rival plans by the US and its allies to create a permanent lunar outpost under NASA’s Artemis program.

Samson noted that China, which is so far the only country to soft-land spacecraft on the moon in the 21st century, has already been downplaying Russia’s role in the program.

“I’m sure China must be really wondering what they saddled themselves with” after the Luna 25 mission, Samson said.

Still, Samson and Pearson both noted that Russia continues to play a key role on the international stage. The country is the United States’ primary partner on the International Space Station, though Russia previously threatened to pull out of that operation. For years, Russia was also the only country capable of getting astronauts to and from the space station after NASA retired its space shuttle program. (Today, SpaceX has taken over that function for the US.)

Why missions like Luna 25 matter

The Luna 25 spacecraft was intended to land on the moon’s south pole. It’s the same region where India is aiming to put its Chandrayaan-3 lander and where NASA plans to put its astronauts as well as future robotic missions.

The widespread interest in the moon’s south pole can be attributed to one key feature: water ice. Scientists believe copious amounts of water are stored near the south pole, frozen solid in shadowy craters.

Water ice could be immensely valuable for the future of space exploration. The precious resource could be converted into rocket fuel for missions that explore deeper into the cosmos or turned into drinking water for astronauts on long-duration missions.

“That is really the big driver for why we need to head to the south pole — and they’re in sort of part of a ‘Space Race Part Two,’” said Dr. Angela Marusiak, an assistant research professor at the University of Arizona’s Lunar and Planetary Laboratory, in an August 18 interview.

Because orbital dynamics make the south pole difficult to reach, it hasn’t been as deeply explored as other areas. That gives Russia and every other nation with lunar ambitions a key reason to go: There is clear scientific — and strategic — interest.

But Pearson questioned why Russia chose to head straight for the south pole for its first lunar mission in nearly 50 years.

“All they had to do was land (somewhere on the moon) and they would have shown the world that they were in the space race,” Pearson said of Russia. “They took a desperate measure — in my opinion — when they should have picked a safer option.”

Which countries reach the moon, and when, could have implications for how scientists make use of the data gathered.

Exactly how information sharing will work is not exactly clear.

India, for example, is a signatory of NASA’s Artemis Accords, a document mapping out agreed-upon rules for lunar exploration that includes a commitment to sharing scientific data.

Russia, on the other hand, is not a signatory.

But Samson cautioned against characterizing these lunar missions as a race, suggesting those involved are opponents. Though it’s difficult to know exactly what dynamics will arise, the moon is a big place — and there is room for everyone.

“My concern is that if we look at this in an aggressive, adversarial manner,” she said, “then we will generate the exact circumstance we’re trying to avoid.”","https://media.cnn.com/api/v1/images/stellar/prod/230821151945-russia-luna-25-crash-landing-engine-issue.jpg?c=16x9&q=w_800,c_fill",https://www.cnn.com/2023/08/22/world/russia-luna-25-chandrayaan-3-global-space-race-scn/index.html,Science
['Jonathan Corum'],2023-08-22 00:00:00,"Racing to Land, or Crash, on the Moon","Russia’s Luna-25 spacecraft crashed into the moon on Saturday, two days before a planned landing attempt.

It was the latest in a series of impacts, belly flops and hard landings — some intentional, others unplanned — since 1959, when the Soviet Union’s Luna-2 became the first probe to hit the moon.

India’s Chandrayaan-3 mission will attempt to land on the moon on Wednesday, and other missions will follow in coming months.

An image taken on Sunday by the Chandrayaan-3 spacecraft in lunar orbit. ISRO

64 Years of Moon Crashes

Seven space programs and one private company have made hard landings on the moon: the Soviet Union, United States, Japan, European Space Agency, India, China, Israel and Ispace. Crash locations are shown on the map below.

Moon imagery from the Lunar Reconnaissance Orbiter Camera via NASA’s Scientific Visualization Studio. Some types of crashes, including used rocket engines and empty Apollo lunar modules, are not shown. Some locations are approximate, and other crash locations have not been determined.

Some crashes were setbacks. Others were intentional, marking the end of a successful mission. Whatever the cause, space agencies have learned from each collision. Crashes can reveal design flaws or software glitches, and expose material under the lunar surface for future study.

India’s Last Attempt

On Sept. 7, 2019, India’s Chandrayaan-2 lander lost communications with Earth as it descended toward a planned landing site near the moon’s south pole.

NASA’s Lunar Reconnaissance Orbiter flew over the area ten days later but was unable to locate the lander, known as Vikram.

Curtius Manzinus Moretus Chandrayaan-2 crash site Chandrayaan-3 target landing site Boguslawsky South Pole Path of the Lunar Reconnaissance Orbiter on Sept. 17, 2019 Curtius Manzinus Moretus Chandrayaan-2 crash site Chandrayaan-2 target landing site Boguslawsky South Pole Path of the Lunar Reconnaissance Orbiter on Sept. 17, 2019 Curtius Manzinus Moretus Chandrayaan-2 crash site Chandrayaan-3 target landing site Boguslawsky South Pole Path of the Lunar Reconnaissance Orbiter on Sept. 17, 2019 Curtius Manzinus Chandrayaan-2 crash site Chandrayaan-3 target landing site Path of the Lunar Reconnaissance Orbiter on Sept. 17, 2019 South Pole A map of the moon’s south polar region, showing elevation in false color. The New York Times; Map data from NASA, the Goddard Space Flight Center and Arizona State Univ.

Months later, an Indian space enthusiast spotted a bright speck in a publicly available NASA image, which turned out to be spacecraft debris from Vikram’s impact.

Vikram’s impact site 100 METERS Vikram’s impact site 100 METERS Vikram’s impact site 100 METERS Vikram’s impact site 100 METERS A composite image highlighting recent changes on the lunar surface. NASA; Goddard Space Flight Center; Arizona State Univ.

Future Missions

Japan plans to launch the SLIM mission to the moon this week, on Aug. 26. The mission would orbit the moon and attempt a landing near Shioli Crater.

An illustration of Japan’s SLIM lander. JAXA

Several companies are also competing to achieve the first private lunar landing. Japan’s Ispace launched the Hakuto-R Mission 1 spacecraft in 2022, but it crashed while landing in April.

Hakuto-R’s impact site 50 METERS Hakuto-R’s impact site 50 METERS Hakuto-R’s impact site 50 METERS Hakuto-R’s impact site 50 METERS A composite image highlighting recent changes on the lunar surface. NASA; Goddard Space Flight Center; Arizona State Univ.

Houston’s Intuitive Machines and Pittsburgh’s Astrobotic Technology may launch lunar missions by the end of the year.

Crewed Missions

NASA has named four astronauts for the Artemis II mission that could orbit the moon in late 2024. Both NASA and China hope to land astronauts by 2030, putting humans on the moon for the first time since Apollo 17 in 1972.

Apollo 17 commander Eugene A. Cernan on the lunar surface, Dec. 13, 1972. NASA



",https://static01.nyt.com/images/2023/08/22/science/moon-landings-and-crashes-1692717484491/moon-landings-and-crashes-1692717484491-facebookJumbo.jpg,https://www.nytimes.com/interactive/2023/08/22/science/moon-landing-crashes-russia-india.html,Science
[],2023-08-23 00:00:00,Russia launches cargo ship to the International Space Station – Spaceflight Now,"A Russian Progress cargo ship blasted off from the Baikonur Cosmodrome on Tuesday, Aug. 22 at 9:08 p.m. EDT (0108 UTC on Aug. 23) carrying supplies and equipment to the International Space Station.

The uncrewed spacecraft, which is carrying about three tons of cargo will make 34 orbits of Earth before using the Kours automated system to dock at the space station’s Zvezda module on Aug. 24 at 11:50 p.m. EDT (0350 UTC). The craft is expect to stay at the orbiting outpost for six months before departing on one final mission to dispose of the station’s trash in a fiery reentry.

NASA designates this mission Progress 85 but Russia uses the designation Progress MS-24. It will the 117th flight of a Progress spacecraft since its debut in 1978. The cargo freighter previously served the Salyut and Mir space stations launched during the era of the Soviet Union.",,https://spaceflightnow.com/2023/08/23/live-coverage-russia-to-launch-cargo-to-the-international-space-station/,Science
['Stephen Clark'],,"Valves are a regular concern at SpaceX, just like every other space company","SpaceX is launching a mission about once every four days, and most of those flights are going to space to deploy Internet satellites for the company's own Starlink broadband network. But this week is different. Aside from two more missions carrying Starlink satellites, SpaceX is preparing to send a four-person crew to the International Space Station early Friday.

The crew launch from the Kennedy Space Center in Florida will deliver NASA commander Jasmin Moghbeli, European Space Agency astronaut Andreas Mogensen, Japanese astronaut Satoshi Furukawa, and Russian cosmonaut Konstantin Borisov to the space station for a half-year stay. This mission, known as Crew-7, will be SpaceX's 11th astronaut flight and the company's seventh operational crew rotation mission for NASA using a Crew Dragon spacecraft.

Bill Gerstenmaier, SpaceX's vice president of build and flight reliability, says these crew missions are special. SpaceX and NASA managers met Monday for a flight readiness review, a customary milestone before every crew launch, to deliberate on any problems that could affect the upcoming mission.

“It’s nice to get a chance to step back and look at all the issues, problems, and things that are going right with the vehicles,"" Gerstenmaier said. ""We get a chance to take a look at the Falcon vehicle maybe in a little more in-depth way for crew flights than we do for other flights. We know the importance of flying crew, and the trust that the crew puts in us in delivering.""

SpaceX has launched its Falcon 9 and Falcon Heavy rockets 81 times over the last year (that number could climb to 83 by the end of the week). Since the start of 2023, the company has launched its Falcon rockets 57 times, on pace for roughly 90 missions by the end of the year. For an orbital-class rocket, this is an unmatched launch rate in the entire history of spaceflight.

“We have separate teams that are monitoring all these activities,"" Gerstenmaier said. ""In fact, we can support launches from three pads simultaneously with our support teams the way we are. So we’re not overstressed, we’re not overworking the workforce.""

Advertisement

According to BryceTech, SpaceX launched more than 447 metric tons of payload mass in the first half of this year, nearly 10 times more than all Chinese rockets.

""From the outside, it may look like we’re flying a lot of flights, and they’re all trouble-free,"" Gerstenmaier said. ""They are not all trouble-free. They are not easy. Every time we fly, we learn something. We spend the time to go analyze it.""

Cleared for flight

NASA and SpaceX officials gave the green light Monday to proceed with preparations to launch the Crew-7 mission Friday, but only after formally signing off on several technical issues. One of those involved a drogue parachute that took longer than anticipated to fully inflate on a Dragon crew capsule returning from the space station earlier this year.

That issue was cleared for the launch of the Crew-7 mission during the flight readiness review.

“The parachute system is something that we monitor very carefully,"" said Steve Stich, manager of NASA's commercial crew program. ""We have imagery of the chutes every landing, and SpaceX has done a great job of recovering those chutes from every single landing.”

Stich said the other ""special topic"" discussed Monday was a valve failure on a Dragon cargo capsule in June. During that mission, an isolation valve in the Dragon's propulsion system became stuck. There was no effect on the Dragon resupply mission because the valve in question is only used if there's a problem elsewhere in the propulsion system, when it would close or isolate a leaky thruster to avoid losing propellant.

SpaceX engineers removed the stuck valve from the Dragon cargo capsule after it splashed down at the end of its mission in June. They found signs of corrosion.

""The corrosion is caused by oxidizer vapors mixing with a little bit of moisture,"" Stich said. ""The materials are corrosion resistant, but if you get enough vapor from the oxidizer along with water, you can form a little bit of acid and get some corrosion.""

That may sound familiar for Ars readers. A test flight of Boeing's delay-stricken Starliner crew capsule, which still hasn't flown with astronauts, was grounded in 2021 after engineers discovered stuck valves in the spacecraft's propulsion system just hours before launch. Inspections revealed corrosion in the valves caused by moisture mixing with vapors of nitrogen tetroxide, the oxidizer used for maneuvering thrusters on both Starliner and Crew Dragon.

Advertisement

Stich said the process that led to the corrosion is ""somewhat similar"" to the issue facing the Starliner and Dragon spacecraft. ""We have, on the valves, an environmental seal that leaks a little bit of vapor across into the dry side of the valve, which is the electrical part that actuates the valve, and then forms corrosion on the components inside, combined with a little bit of moisture,"" he said.

There were numerous stuck valves inside Boeing's Starliner spacecraft, delaying its unpiloted test flight by more than nine months. Over the last couple of months, SpaceX was able to remove valves on the Crew Dragon Endurance spacecraft slated to fly the Crew-7 mission, replace some parts in the valves, then reassemble them and test them on the capsule. ""We know all of those valves are functioning just fine,"" Stich said.

""We’re very agile in the fact that we can get into tests (of hardware),"" Gerstenmaier said. ""We have a lot of vertical integration. We can do things ... to tear valves apart and dissect things. We use the NASA team where appropriate. We shift some of the work to them to go take a look. I think that’s a strength between us both to make sure we’re ready to fly.”

The valves on SpaceX's Crew Dragon Endeavour spacecraft currently docked at the space station are also functioning as designed. Ground teams will likely remove and inspect those valves after the capsule returns to Earth next month, following the launch of the Crew-7 mission.

""I would say we learned quite a bit from the investigation we did on Starliner, and it probably helped us get to the root cause a little bit faster on the Dragon valve issue,"" Stich said. ""The materials inside the valves are a little different, so the kind of corrosion is a little different between the Dragon valve and the Starliner valves, but it’s a similar mechanism.""

Stich said SpaceX and NASA would consider adding purge air to the propulsion system to keep vapors from building up and leading to corrosion. That's similar to something Boeing did to mitigate the problem with Starliner's corroded valves.

""I think we’re learning a little bit about capsules and valves between the two different vehicles—Starliner and Dragon—and we have a little bit more work ... to remediate the corrosion for the long term because we really want to re-fly each one of these (Dragon) vehicles up to five times,"" Stich said.",https://cdn.arstechnica.net/wp-content/uploads/2023/08/crewdragon-760x380.jpeg,https://arstechnica.com/space/2023/08/valves-are-a-regular-concern-at-spacex-just-like-every-other-space-company/,Science
"['Mike Wall', 'Senior Space Writer', 'Social Links Navigation']",2023-08-23 10:00:56+00:00,SpaceX Crew-7 astronauts rehearse ahead of Aug. 25 launch (photos),"The four astronauts of SpaceX's Crew-7 mission to the International Space Station rehearse inside their Crew Dragon spacecraft ahead of a planned Aug. 25, 2023 liftoff.

SpaceX and NASA are checking off boxes ahead of the company's next crewed launch to the International Space Station, which is scheduled for Friday (Aug. 25).

The four astronauts of that mission, which is called Crew-7, along with their associated SpaceX and NASA teams, have ""completed a full rehearsal of launch day activities,"" SpaceX wrote via X (formerly Twitter) early Tuesday morning (Aug. 22).

That post featured three photos: One showed the spaceflyers inside their Crew Dragon capsule Endurance, which is sitting atop a Falcon 9 rocket at Pad 39A at NASA's Kennedy Space Center in Florida. Another saw the crew in front of the Falcon 9-Endurance stack on the pad, and the third was taken in Pad 39A's crew access arm, the entry point into Endurance.

Related: SpaceX Crew-7 astronaut plans to snap aurora photos on the ISS

The Crew-7 astronauts stand inside the crew access arm at Kennedy Space Center's Pad 39A ahead of a planned Aug. 25, 2023 liftoff. (Image credit: SpaceX)

And, in another Tuesday morning X post, SpaceX announced that it had conducted a successful ""static fire"" test of Crew-7's Falcon 9. (In static fires, a rocket's first-stage engines are briefly ignited while the vehicle remains anchored to the ground.)

So everything remains on track for a Crew-7 liftoff from Pad 39A on Friday at 3:49 a.m. EDT (0749 GMT). You can watch the launch live here at Space.com when the time comes.

Crew-7 will send four spaceflyers to the International Space Station (ISS) for a roughly six-month stay.

Those four astronauts are NASA's Jasmin Moghbeli, the Crew-7 commander; Danish astronaut Andreas Mogensen of the European Space Agency, who will serve as pilot; and mission specialists Konstantin Borisov and Satoshi Furukawa, of the Russian space agency Roscosmos and the Japan Aerospace Exploration Agency, respectively.

The Crew-7 astronauts stand in front of their Falcon 9 rocket and Crew Dragon capsule at Kennedy Space Center's Pad 39A ahead of a planned Aug. 25, 2023 liftoff. (Image credit: SpaceX)

Another Crew Dragon capsule is already docked to the ISS — Endeavour, which flew four astronauts up on SpaceX's Crew-6 mission. The Crew-6 quartet will depart for Earth about five days after Crew-7 docks, a milestone scheduled to occur roughly 24 hours after launch.

And the ISS will get another visitor before Crew-7 lifts off, if all goes according to plan. A robotic Russian Progress cargo craft is scheduled to launch Tuesday evening and arrive at the orbiting lab late Thursday night (Aug. 24).",https://cdn.mos.cms.futurecdn.net/W38CCqfCB28LwqEqX4wJbH-1200-80.jpg,https://www.space.com/spacex-crew-7-astronauts-launch-rehearsal-photos,Science
[],2023-08-23 02:21:58-07:00,Two Rockets on Opposite Sides of the World Are Launching to the International Space Station,"Two rockets on opposite sides of the world are launching to the International Space Station (ISS) to deliver cargo and a new crew this week. The first spaceship launched from Kazakhstan on Tuesday night hauling supplies to replenish the Expedition 69 crew. The second will launch from Florida sending four new crew members to the orbital lab.

Roscosmos Progress 85 Cargo Mission

The Roscosmos Progress 85 cargo craft lifted off on a Soyuz rocket at 9:08 p.m. EDT on Tuesday, August 22 from the Baikonur Cosmodrome in Kazakhstan. It will orbit Earth for two days before docking to the aft port of the Zvezda service module at 11:50 p.m. on Thursday. A few hours later on Friday, cosmonauts Sergey Prokopyev and Dmitri Petelin will open Progress 85’s hatches and begin unpacking about three tons of food, fuel, and supplies.

SpaceX Crew-7 Launch Preparations

Four Commercial Crew astronauts were suited up inside the SpaceX Dragon Endurance spacecraft at NASA’s Kennedy Space Center in Florida overnight for their dry dress launch countdown. A few hours later, the Falcon 9 engines fired for 6 seconds as part of the pre-launch static fire test. SpaceX Crew-7 is slated to launch at 3:49 a.m. on Friday.

Crew-7 Commander Jasmin Moghbeli of NASA will lead Pilot Andreas Mogensen of ESA (European Space Agency), and Mission Specialists Satoshi Furukawa of JAXA (Japan Aerospace Exploration Agency) and Konstantin Borisov of Roscosmos during their ride to the orbital lab. The quartet, inside the Endurance, will dock to the Harmony module’s space-facing port at 2:02 a.m. on Saturday beginning a six-month space research mission.

Activities Aboard the ISS

Back aboard the orbital outpost on Tuesday, the seven crewmates from the U.S., UAE (United Arab Emirates), and Russia stayed focused on microgravity research and lab maintenance.

NASA Flight Engineers Frank Rubio and Stephen Bowen swapped out hardware inside the Fluids Integrated Rack for a boiling and condensation study that may improve thermal systems on Earth and in space. Rubio earlier joined UAE astronaut Sultan Alneyadi organizing cargo inside the Northrop Grumman Cygnus space freighter. Bowen began his day cleaning crew quarters ventilation systems and checking airflow sensors. Flight Engineer Woody Hoburg of NASA also assisted with the Cygnus work before configuring the Tranquility module’s Bishop airlock ahead of its depressurization.

Health and Departure Preparations

During the morning, Prokopyev attached various sensors to himself as part of a long-running Roscosmos heart study. Later, he partnered with Petelin to employ ultrasound techniques, investigating the digestive system’s adaptability in a weightless environment. Roscosmos Flight Engineer Andrey Fedyaev occupied himself with orbital plumbing duties inside the Nauka science module.

As the day drew to a close, a team consisting of Fedyaev, Bowen, Hoburg, and Alneyadi initiated preparations for their slated departure on September 1 aboard the SpaceX Dragon Endeavour spacecraft. The crew will land off Florida’s coast roughly 24 hours post-departure. Before concluding the day, the foursome communicated with ground experts, discussing the operations of the spacecraft for their Earthbound journey.",https://scitechdaily.com/images/NASAs-SpaceX-Crew-7-Preflight-scaled.jpg,https://scitechdaily.com/two-rockets-on-opposite-sides-of-the-world-are-launching-to-the-international-space-station/,Science
[],,Space Agencies Around The World Are Racing To Moon's South Pole. Here's Why,"Russia's Luna-25 craft had been scheduled to land on the south pole but crashed on Sunday.

India's space agency is attempting to land a spacecraft on the moon's south pole, a mission that could advance India's space ambitions and expand knowledge of lunar water ice, potentially one of the moon's most valuable resources.

Here's what's known about the presence of frozen water on the moon - and why space agencies and private companies see it as a key to a moon colony, lunar mining and potential missions to Mars.

HOW DID SCIENTISTS FIND WATER ON THE MOON?

As early as the 1960s, before the first Apollo landing, scientists had speculated that water could exist on the moon. Samples the Apollo crews returned for analysis in the late 1960s and early 1970s appeared to be dry.

In 2008, Brown University researchers revisited those lunar samples with new technology and found hydrogen inside tiny beads of volcanic glass. In 2009, a NASA instrument aboard the Indian Space Research Organisation's Chandrayaan-1 probe detected water on the moon's surface.

In the same year, another NASA probe that hit the south pole found water ice below the moon's surface. An earlier NASA mission, the 1998 Lunar Prospector, had found evidence that the highest concentration of water ice was in the south pole's shadowed craters.

WHY IS WATER ON THE MOON IMPORTANT?

Scientists are interested in pockets of ancient water ice because they could provide a record of lunar volcanoes, material that comets and asteroids delivered to Earth, and the origin of oceans.

If water ice exists in sufficient quantities, it could be a source of drinking water for moon exploration and could help cool equipment.

It could also be broken down to produce hydrogen for fuel and oxygen to breathe, supporting missions to Mars or lunar mining.

The 1967 United Nations Outer Space Treaty prohibits any nation from claiming ownership of the moon. There is no provision that would stop commercial operations.

A U.S.-led effort to establish a set of principles for moon exploration and the use of its resources, the Artemis Accords, has 27 signatories. China and Russia have not signed.

WHAT MAKES THE SOUTH POLE ESPECIALLY TRICKY?

Attempted landings on the moon have failed before. Russia's Luna-25 craft had been scheduled to land on the south pole this week but spun out of control on approach and crashed on Sunday.

The south pole - far from the equatorial region targeted by previous missions, including the crewed Apollo landings - is full of craters and deep trenches.

ISRO's Chandrayaan-3 mission is on track for an attempted landing on Wednesday, the space agency has said. A previous Indian mission failed in 2019 to safely land near the area targeted by Chandrayaan-3.

Both the United States and China have planned missions to the south pole.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",https://c.ndtvimg.com/2023-08/ogfro2dg_luna-25-mission_625x300_19_August_23.jpg,https://www.ndtv.com/world-news/space-agencies-around-the-world-are-racing-to-moons-south-pole-heres-why-4320937,Science
[],,What to know about India's moon mission,,https://i.ytimg.com/vi/l8EhopA3PrQ/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGEggZShkMA8=&rs=AOn4CLAS8465p8xebjSHF3lXPgdFzQNUDQ,https://www.youtube.com/watch?v=l8EhopA3PrQ,Science
